Edit Factor,Eigenvalue (Real),Eigenvalue (Imag)
0.0,31.641589825484544,0.0
0.0,-12.641589825484523,0.0
0.0,2.195909516583681e-17,2.464482490989925e-17
0.0,2.195909516583681e-17,-2.464482490989925e-17
0.0,1.3531313174929178e-17,0.0
0.0,-1.0,5.874748045952207e-16
0.0,-1.0,-5.874748045952207e-16
0.0,-1.0000000000000009,0.0
0.0,-0.9999999999999981,0.0
0.0,-0.9999999999999993,0.0
0.0,7.131810063149807e-18,5.638305185933379e-17
0.0,7.131810063149807e-18,-5.638305185933379e-17
0.0,-0.9999999999999998,0.0
0.0,-1.0000000000000004,0.0
0.0,-1.000000000000001,0.0
0.0,-6.047462940079583e-17,0.0
0.0,3.345407085715788e-17,0.0
0.0,-0.9999999999999996,0.0
0.0,-3.486871856619161e-17,0.0
0.0,9.30682454330037e-17,0.0
0.0,-0.9999999999999999,0.0
0.0,-0.9999999999999999,0.0
0.0,-0.9999999999999998,0.0
0.0,-6.124027597630775e-17,0.0
0.0,-8.070689998848379e-17,0.0
0.0,-1.0000000000000004,0.0
0.0,-5.586434326718243e-17,0.0
0.0,2.4811363060824542e-17,0.0
0.0,-1.0000000000000002,0.0
0.0,-0.9999999999999998,0.0
0.0,6.318488340111894e-17,0.0
0.0,-5.770919679401003e-17,0.0
0.0,-1.0000000000000007,0.0
0.0,-1.0000000000000004,0.0
0.0,1.3926182195592048e-16,0.0
0.0,-2.5369794542840456e-17,0.0
0.0,-0.999999999999999,0.0
0.0,-0.9999999999999996,0.0
0.0,1.341076835708588e-16,0.0
0.0,-4.433105201502601e-17,0.0
0.0,31.64158982548455,0.0
0.0,-12.64158982548453,0.0
0.0,-0.9999999999999996,0.0
0.0,-1.0000000000000009,0.0
0.0,-1.0000000000000004,0.0
0.0,-1.3517718412286366e-16,0.0
0.0,-1.929662467638928e-17,0.0
0.0,-0.9999999999999996,0.0
0.0,5.918982699941477e-17,0.0
0.0,-4.1100280092157785e-17,0.0
0.0,-0.9999999999999998,0.0
0.0,-1.0,0.0
0.0,-1.0000000000000004,0.0
0.0,6.369978857347257e-17,0.0
0.0,-2.3698629237966145e-17,0.0
0.0,-1.0000000000000004,0.0
0.0,1.9218313216364002e-16,0.0
0.0,-1.9756556651960873e-17,4.023929859237256e-17
0.0,-1.9756556651960873e-17,-4.023929859237256e-17
0.0,-0.9999999999999988,0.0
0.0,-1.0000000000000002,0.0
0.0,-0.9999999999999998,0.0
0.0,-2.5785441453531608e-17,0.0
0.0,1.9400250195734556e-17,0.0
0.0,-1.0000000000000002,0.0
0.0,-0.9999999999999998,0.0
0.0,-1.199071933120382e-16,0.0
0.0,1.689966265845012e-17,0.0
0.0,-0.9999999999999998,0.0
0.0,-1.0,0.0
0.0,-9.050777931018945e-18,0.0
0.0,-1.4016262856250055e-16,0.0
0.0,-0.9999999999999996,0.0
0.0,-1.0,0.0
0.0,4.635802042513363e-17,6.0790504987384e-17
0.0,4.635802042513363e-17,-6.0790504987384e-17
0.0,-1.0000000000000002,0.0
0.0,-0.9999999999999996,0.0
0.0,3.7869399925256424e-17,0.0
0.0,-6.578073692286337e-17,0.0
0.05,30.81172400943786,0.0
0.05,-13.015993071511485,0.0
0.05,1.1398592308960778,0.0
0.05,-2.72022927201324,0.0
0.05,-2.658585325703535,0.0
0.05,-2.1889638149741226,0.0
0.05,-2.07052597733495,0.0
0.05,-1.5627200620423185,0.0
0.05,-1.4455038005691314,0.0
0.05,0.672488333017363,0.0
0.05,0.4036848969670982,0.0
0.05,-0.46763475681177175,0.0
0.05,0.10239961064218442,0.0
0.05,-1.0000000000000004,0.0
0.05,-0.9999999999999993,0.0
0.05,-0.9999999999999992,0.0
0.05,-0.9999999999999998,0.0
0.05,-0.9999999999999984,0.0
0.05,1.7981656647114508e-16,0.0
0.05,-7.131818218924346e-17,0.0
0.05,5.5508768172228777e-17,0.0
0.05,-1.0,0.0
0.05,-0.9999999999999991,0.0
0.05,6.673088790069288e-17,2.714913253363787e-17
0.05,6.673088790069288e-17,-2.714913253363787e-17
0.05,-3.8178486236411255e-17,6.345594107668472e-17
0.05,-3.8178486236411255e-17,-6.345594107668472e-17
0.05,-6.170527494624735e-17,1.3289235302195022e-17
0.05,-6.170527494624735e-17,-1.3289235302195022e-17
0.05,2.953331833317145e-17,1.903214066503428e-17
0.05,2.953331833317145e-17,-1.903214066503428e-17
0.05,-1.4267264404840358e-18,3.744868821430435e-17
0.05,-1.4267264404840358e-18,-3.744868821430435e-17
0.05,1.1668029037904523e-17,0.0
0.05,-2.4723371675645057e-17,3.172522415968458e-17
0.05,-2.4723371675645057e-17,-3.172522415968458e-17
0.05,-4.7058142708573624e-17,1.452219497122328e-17
0.05,-4.7058142708573624e-17,-1.452219497122328e-17
0.05,2.9294985262629437e-19,5.933658761363115e-18
0.05,2.9294985262629437e-19,-5.933658761363115e-18
0.05,31.15260098693366,0.0
0.05,-12.85421974852162,0.0
0.05,-2.2330515977455683,0.0
0.05,-1.4628538725651914,0.0
0.05,0.39752423189877173,0.0
0.05,-1.0000000000000004,6.483223174885586e-16
0.05,-1.0000000000000004,-6.483223174885586e-16
0.05,-2.4142135623730936,0.0
0.05,0.41421356237309476,0.0
0.05,-1.999999999999999,0.0
0.05,-2.0000000000000036,0.0
0.05,-1.0000000000000007,0.0
0.05,-1.0000000000000004,0.0
0.05,-1.000000000000001,0.0
0.05,-1.000000000000002,0.0
0.05,3.4299019439817825e-16,0.0
0.05,-8.390357899224421e-17,7.564758060281455e-17
0.05,-8.390357899224421e-17,-7.564758060281455e-17
0.05,1.1466226039201297e-16,0.0
0.05,-2.220446049250313e-16,0.0
0.05,-1.0000000000000004,0.0
0.05,-0.9999999999999999,0.0
0.05,-0.9999999999999996,0.0
0.05,7.958459720154259e-17,0.0
0.05,-8.534237721722739e-19,4.934792645440189e-17
0.05,-8.534237721722739e-19,-4.934792645440189e-17
0.05,-4.134568326793168e-17,0.0
0.05,2.3462648570091258e-17,3.4822074422591887e-17
0.05,2.3462648570091258e-17,-3.4822074422591887e-17
0.05,4.05230909693249e-17,0.0
0.05,-1.9593944883418376e-17,1.6388871680715764e-17
0.05,-1.9593944883418376e-17,-1.6388871680715764e-17
0.05,7.719911773977708e-18,1.2555692322457436e-17
0.05,7.719911773977708e-18,-1.2555692322457436e-17
0.05,-7.430634566485144e-18,9.274012138544475e-18
0.05,-7.430634566485144e-18,-9.274012138544475e-18
0.05,6.502672217273339e-18,0.0
0.05,-5.105631670021845e-19,0.0
0.05,-2.3358482090184834e-26,0.0
0.05,1.0083410411249603e-25,0.0
0.1,30.20555208608217,0.0
0.1,-13.313530328842258,0.0
0.1,-3.6637400163783127,0.0
0.1,-2.746812431374887,0.0
0.1,-2.6064572705976934,0.0
0.1,1.435720892549357,0.0
0.1,-1.9708569682360693,0.0
0.1,-1.7139061874687764,0.0
0.1,-1.594138043067792,0.0
0.1,-1.3344025527357253,0.0
0.1,0.9688873427514624,0.0
0.1,0.889583451637059,0.0
0.1,0.642972923418892,0.0
0.1,-0.463267262928032,0.0
